,Lang,Count
0,es,17000
1,en,20981
2,tl,2212
3,fr,1386
4,pt,4131
5,th,926
6,ar,3217
7,und,6567
8,cy,36
9,in,2084
10,ja,2314
11,pl,400
12,sk,43
13,ru,515
14,tr,1207
15,ko,929
16,sv,97
17,hr,20
18,de,189
19,it,290
20,bg,11
21,hi,31
22,lv,49
23,nl,84
24,ht,161
25,et,118
26,iw,32
27,hu,21
28,uk,18
29,lt,25
30,fi,39
31,bs,38
32,ro,23
33,da,62
34,sl,34
35,ur,7
36,fa,14
37,sr,4
38,no,28
39,zh,13
40,ne,11
41,is,17
42,si,3
43,vi,5
44,el,9
45,ckb,1
46,ta,2
47,mr,1
