,Lang,Count
0,ar,5863
1,und,7981
2,en,45159
3,es,8713
4,ru,469
5,it,270
6,bs,17
7,pt,4293
8,tl,1833
9,fr,2832
10,in,1371
11,pl,261
12,nl,311
13,ja,1055
14,tr,950
15,bg,10
16,et,135
17,fi,43
18,da,56
19,lt,26
20,sv,175
21,ko,96
22,sk,173
23,th,260
24,ro,24
25,el,12
26,de,104
27,zh,22
28,no,34
29,cy,53
30,sl,42
31,uk,7
32,is,15
33,hi,8
34,hu,20
35,ht,160
36,vi,43
37,lv,23
38,iw,30
39,fa,14
40,hr,4
41,sr,1
42,pa,1
43,hy,1
44,ne,1
45,iu,1
46,ur,1
