,Emoji,CountBefore,CountAfter
243,💴,3.0,1.0
244,📿,5.0,
245,👑,21.0,11.0
246,🖕,6.0,14.0
247,🔞,10.0,5.0
248,🎈,14.0,6.0
249,🎉,7.0,9.0
250,📢,7.0,1.0
251,🐖,3.0,2.0
252,🔌,43.0,11.0
253,🎬,14.0,3.0
254,👂,2.0,
255,🍗,2.0,
256,🎶,52.0,30.0
257,🚺,1.0,
258,🖥,3.0,1.0
259,💆,9.0,4.0
260,🐯,3.0,4.0
261,😛,17.0,7.0
262,💐,6.0,1.0
263,🎃,7.0,2.0
264,🦁,3.0,
265,🔩,2.0,1.0
266,👭,3.0,2.0
267,♥,13.0,6.0
268,🤖,3.0,3.0
269,🙎,12.0,3.0
270,⛱,1.0,2.0
271,🎯,13.0,4.0
272,🐱,10.0,3.0
273,🎸,6.0,5.0
274,👾,5.0,1.0
275,🎧,8.0,9.0
276,👳,2.0,1.0
277,🛁,3.0,
278,🎀,2.0,5.0
279,😋,16.0,3.0
280,🕵,2.0,2.0
281,🎵,20.0,15.0
282,🍸,2.0,17.0
283,🚶,5.0,16.0
284,🐝,7.0,
285,🔋,1.0,6.0
286,⚰,4.0,66.0
287,🚔,7.0,5.0
288,🏛,1.0,1.0
289,🌀,2.0,
290,🐘,4.0,
291,🍌,3.0,
292,💞,23.0,23.0
293,🍏,1.0,
294,📽,6.0,1.0
295,🎭,2.0,9.0
296,🌅,2.0,
297,👉,13.0,4.0
298,📴,1.0,
299,👇,10.0,13.0
300,💫,11.0,9.0
301,⚽,6.0,21.0
302,🕶,5.0,6.0
303,🏆,4.0,2.0
304,✖,1.0,7.0
305,🏏,2.0,1.0
306,🚢,4.0,1.0
307,🗽,1.0,
308,👱,6.0,5.0
309,🐞,2.0,
310,📷,2.0,2.0
311,✴,1.0,2.0
312,🐵,7.0,1.0
313,☀,2.0,3.0
314,🚹,2.0,
315,🌶,2.0,
316,🌞,12.0,3.0
317,👓,7.0,4.0
318,🏊,6.0,1.0
319,👒,3.0,
320,🌄,1.0,
321,🚄,1.0,5.0
322,📌,2.0,
323,🎙,1.0,1.0
324,🏎,2.0,1.0
325,👨,6.0,12.0
326,🐰,5.0,1.0
327,🍋,1.0,
328,🔧,3.0,1.0
329,📹,1.0,
330,⚒,5.0,4.0
331,🎥,6.0,8.0
332,👍,16.0,20.0
333,🏹,11.0,8.0
334,❣,10.0,4.0
335,😾,10.0,4.0
336,🚣,1.0,
337,⚗,1.0,
338,🍡,1.0,
339,🔔,4.0,1.0
340,🍁,6.0,2.0
341,🍍,20.0,
342,🚑,2.0,7.0
343,👅,9.0,7.0
344,🏀,3.0,2.0
