,Emoji,Count
0,😒,387335
1,👀,215056
2,😅,246351
3,💊,10635
4,👉,171383
5,🏻,517079
6,😌,203542
7,👻,41089
8,🐵,4827
9,😟,25950
10,💕,875672
11,😖,50790
12,😍,2074993
13,💐,31216
14,💞,233983
15,‼,206145
16,😪,104939
17,✊,57178
18,🏼,423881
19,♥,652049
20,🔥,672399
21,💫,98294
22,🎠,1847
23,😴,203142
24,😂,5798250
25,💙,453613
26,💔,281130
27,💀,330448
28,😭,1771870
29,✌,292501
30,😙,43761
31,🙌,417238
32,💭,131657
33,😏,369460
34,😈,158295
35,😘,604090
36,🌟,153888
37,💗,356002
38,🙈,270541
39,👘,1299
40,😦,16458
41,❤,1634219
42,😔,252027
43,👍,382831
44,😩,481417
45,👑,115710
46,✔,132652
47,👌,527748
48,😽,15869
49,😚,81298
50,➡,77890
51,🌷,47466
52,💃,127002
53,🎉,320746
54,😊,1537555
55,😎,262920
56,✨,784311
57,💛,203261
58,👄,15005
59,🍻,38085
60,💰,44334
61,😷,67231
62,💯,310063
63,💸,46060
64,♈,2443
65,🎨,8181
66,👏,492596
67,😞,94385
68,😿,15799
69,💶,1912
70,🔫,93278
71,😡,136814
72,🙉,21160
73,😻,155353
74,🙏,432523
75,👙,15342
76,💪,213844
77,🍑,28547
78,👇,140100
79,🍎,19637
80,🍒,25459
81,💓,365884
82,🌻,68190
83,👎,70292
84,😋,162408
85,😳,241209
86,🙎,4721
87,😑,152055
88,💝,36764
89,👐,33637
90,🏃,58537
91,🌵,26871
92,🎈,81022
93,👊,186921
94,😝,117543
95,😠,57718
96,😱,211930
97,☑,32489
98,✅,48768
99,♻,119437
100,❌,37724
101,😢,282969
102,🌚,112024
103,😁,424019
104,⬅,36912
105,🏾,158979
106,😆,194571
107,😀,122901
108,👋,87782
109,🐱,23251
110,🙋,225347
111,😥,62598
112,😜,158552
113,🌞,43081
114,👤,4925
115,♀,13177
116,🍰,17166
117,🎂,58032
118,💨,53608
119,💩,47374
120,🔞,12207
121,▶,48086
122,😃,101497
123,✉,2741
124,🙊,133574
125,☺,484774
126,🐈,5254
127,🌅,9117
128,🍃,102894
129,💖,311009
130,✋,216350
131,😐,130358
132,🏽,237530
133,😇,122644
134,💁,116393
135,💎,81130
136,🌹,174198
137,🐻,25687
138,💘,241682
139,🍭,17989
140,👈,105200
141,◼,6463
142,💋,170656
143,◻,3187
144,⚽,59838
145,😗,18008
146,👰,7672
147,🎥,34735
148,☁,68904
149,😄,193858
150,💍,60433
151,🚶,48614
152,🎶,290523
153,🍊,48924
154,🏩,3356
155,👸,26371
156,👭,37880
157,👹,11537
158,🙆,94183
159,💑,32883
160,👼,45781
161,🐔,7527
162,🌈,55831
163,🙅,47537
164,💌,27140
165,🐤,8039
166,💟,76948
167,🌿,34164
168,🔭,709
169,❄,25801
170,⚫,21952
171,🌳,8867
172,💆,22083
173,📠,661
174,😛,77846
175,👦,14066
176,👧,17548
177,❓,13495
178,🚫,17033
179,😣,63586
180,🎊,58668
181,⚠,35600
182,😉,232426
183,🍕,116557
184,🍔,21322
185,☝,75774
186,🍆,16156
187,👫,46082
188,🔙,9071
189,😫,94342
190,👨,16309
191,🐩,4525
192,🐙,35074
193,🎤,52915
194,⚾,15999
195,😓,102433
196,♌,2899
197,🎫,1059
198,💜,344589
199,🎼,30363
200,🔴,78373
201,🐝,16922
202,📷,29786
203,🙇,62966
204,⚓,216319
205,🛅,2230
206,💚,145202
207,😕,120466
208,♉,1672
209,🏿,39731
210,🐧,85350
211,©,44585
212,🌺,57595
213,🎆,19035
214,⁉,23128
215,🌌,17071
216,🍼,13612
217,👶,21790
218,👗,7732
219,🌸,370832
220,🎣,3099
221,☀,101053
222,💂,5727
223,💢,184941
224,🎧,47157
225,🎁,39847
226,✖,19831
227,🌲,30098
228,❗,123707
229,👅,66939
230,♒,1909
231,〽,2535
232,🕓,765
233,☎,14966
234,🍀,79560
235,🔐,13910
236,🍉,49336
237,😬,34803
238,🍴,17432
239,🍲,3698
240,😤,98352
241,💦,177080
242,♨,6371
243,🍍,18357
244,👒,4267
245,😮,24367
246,🐰,30705
247,📝,11427
248,🚗,13796
249,🎭,5526
250,😨,51174
251,🆙,3497
252,🛀,2573
253,👛,2297
254,😰,38068
255,👯,38146
256,😹,70552
257,⬇,22377
258,🍬,42521
259,🐯,14861
260,🐾,25429
261,🐎,6228
262,🍓,62214
263,🐶,42086
264,🐕,5696
265,🌊,50285
266,🌴,111948
267,🚮,18570
268,💡,9802
269,👽,30604
270,🍸,14660
271,🐛,3782
272,💅,44578
273,💏,45522
274,💣,26722
275,🔪,41604
276,♂,18241
277,🎮,8134
278,🚃,2841
279,☕,40703
280,🌙,41863
281,🏈,43453
282,🚙,4351
283,💥,173372
284,🌂,2432
285,➕,4697
286,🐇,4820
287,💇,7913
288,🔟,927
289,🌝,21939
290,⭕,25000
291,🐒,9794
292,👿,19895
293,🎃,17939
294,✈,46766
295,👲,2176
296,👾,14087
297,🍖,7625
298,🌎,17394
299,🌔,1953
300,♣,9913
301,🏀,21848
302,🎵,102049
303,🎀,57632
304,™,14778
305,😲,26994
306,🌀,17448
307,👣,24787
308,🔵,26210
309,👺,3980
310,❣,7938
311,🌍,16891
312,🌏,11536
313,🎺,3158
314,🎷,3429
315,🎻,6240
316,👆,42092
317,⚡,68512
318,🍜,7795
319,🐟,11592
320,🔚,1593
321,🔨,4349
322,🔩,1059
323,🍺,22323
324,🚬,13436
325,🚨,49865
326,🔮,16038
327,💿,6482
328,📺,8877
329,🔊,18848
330,👩,25050
331,😶,40432
332,🍣,8880
333,🍞,6011
334,✏,11159
335,🔹,8890
336,🐼,21344
337,🎅,6450
338,🐘,26667
339,😺,8380
340,👮,5682
341,🍁,129726
342,🚯,291
343,📢,15184
344,😧,25270
345,🚴,4067
346,🐸,29065
347,💮,6036
348,💤,36858
349,🍩,110155
350,🆗,15970
351,📀,3463
352,☹,7255
353,👕,3445
354,🆘,10915
355,🔸,65358
356,®,19918
357,🐦,24554
358,🎬,15880
359,🍇,17624
360,📌,5265
361,👟,8776
362,💧,28466
363,⤴,38846
364,👪,9243
365,🔜,6818
366,🐷,22157
367,👠,8949
368,💄,14052
369,🏊,15370
370,🐽,6499
371,💠,5534
372,📛,7024
373,🐠,13877
374,🐬,24445
375,🍦,23637
376,🍧,12615
377,🌕,4477
378,✂,12615
379,♦,13860
380,💉,16299
381,🍙,4481
382,🍷,17307
383,🌼,36741
384,🃏,1481
385,⭐,127241
386,🚊,413
387,🚩,3466
388,👡,1548
389,📞,7925
390,♠,8262
391,⏩,10639
392,🐭,6711
393,🐢,13936
394,🍹,18795
395,🌾,17187
396,🍥,10537
397,😯,16895
398,♋,2198
399,💬,16689
400,📲,13697
401,🐥,13019
402,🎐,6034
403,⛅,13383
404,🔛,3197
405,💼,1934
406,🍂,26866
407,🍫,24385
408,📱,17314
409,🔝,26362
410,😵,27560
411,🐓,6938
412,🐣,18809
413,▫,3567
414,🎇,9467
415,🐋,4835
416,🏄,9024
417,♎,1913
418,🚄,1610
419,🚓,2581
420,🚣,3555
421,➰,4201
422,🍠,2033
423,⬜,3651
424,🍋,14108
425,⛄,8236
426,🐳,27217
427,👬,13613
428,🏠,4874
429,🏡,6021
430,🐀,2149
431,🐁,903
432,📚,15079
433,🐹,4994
434,🌠,13518
435,📵,1011
436,🌱,12580
437,🐅,2149
438,👢,1803
439,🍟,51393
440,😸,12216
441,😼,10002
442,👳,5513
443,🕧,274
444,🕐,797
445,🕛,1709
446,🔒,4757
447,✡,11717
448,🔰,3473
449,⤵,9039
450,🍗,9258
451,🍚,5128
452,🅱,5140
453,❔,3659
454,🙍,10854
455,🍢,2364
456,〰,7107
457,☂,1494
458,⚪,32723
459,🍤,7117
460,♐,1818
