,Emoji,CountBefore,CountAfter
122,🏊,7.0,4.0
123,🔩,4.0,13.0
124,👱,39.0,2.0
125,✋,123.0,80.0
126,👿,82.0,46.0
127,🎩,2.0,2.0
128,🐶,57.0,8.0
129,🌇,1.0,
130,🐜,15.0,9.0
131,✏,5.0,8.0
132,😶,386.0,25.0
133,👉,15.0,6.0
134,💸,129.0,119.0
135,👭,22.0,7.0
136,😱,270.0,43.0
137,😜,70.0,27.0
138,👆,11.0,10.0
139,👎,125.0,55.0
140,💙,45.0,35.0
141,📶,1.0,
142,🔎,3.0,
143,☹,10.0,1.0
144,🚂,3.0,2.0
145,💤,14.0,14.0
146,🚌,2.0,1.0
147,📷,18.0,14.0
148,🙉,36.0,10.0
149,💊,170.0,170.0
150,🍎,5.0,1.0
151,🔌,16.0,6.0
152,💞,15.0,27.0
153,💳,9.0,9.0
154,😸,22.0,3.0
155,💿,127.0,58.0
156,😾,38.0,7.0
157,💨,98.0,104.0
158,❌,39.0,34.0
159,🙋,79.0,11.0
160,💭,33.0,13.0
161,💩,83.0,75.0
162,🎀,10.0,5.0
163,💘,46.0,24.0
164,👸,136.0,27.0
165,😝,79.0,17.0
166,🍹,5.0,1.0
167,🐒,15.0,4.0
168,🔐,221.0,9.0
169,💎,53.0,27.0
170,🏆,8.0,7.0
171,💻,5.0,2.0
172,🙆,54.0,14.0
173,🌌,6.0,3.0
174,😥,121.0,22.0
175,🎧,23.0,28.0
176,🐗,4.0,1.0
177,🍗,3.0,3.0
178,✌,33.0,91.0
179,🍦,5.0,
180,🌱,1.0,1.0
181,🌸,22.0,22.0
182,❤,47.0,148.0
183,🐸,26.0,8.0
184,🏈,34.0,28.0
185,🐓,9.0,1.0
186,👐,21.0,12.0
187,👳,42.0,9.0
188,🐥,19.0,2.0
189,👇,5.0,6.0
190,👠,11.0,2.0
191,🌻,6.0,4.0
192,💷,11.0,9.0
193,👂,8.0,
194,🍻,18.0,38.0
195,😽,5.0,1.0
196,🍌,3.0,6.0
197,👤,21.0,3.0
198,✈,5.0,12.0
199,👅,13.0,11.0
200,🐝,18.0,1.0
201,🌝,58.0,19.0
202,🎯,14.0,10.0
203,💃,40.0,39.0
204,🔨,54.0,93.0
205,🎂,7.0,2.0
206,📺,20.0,6.0
207,🎤,12.0,17.0
208,🙇,71.0,15.0
209,😘,63.0,94.0
210,🐻,11.0,2.0
211,🐰,11.0,2.0
212,🌞,30.0,12.0
213,🚫,53.0,32.0
214,🚨,17.0,20.0
215,👺,13.0,
216,👑,22.0,27.0
217,🐾,3.0,1.0
218,🔚,2.0,3.0
219,🔬,1.0,
220,😻,52.0,28.0
221,⏰,15.0,2.0
222,🌀,5.0,3.0
223,📗,2.0,
224,💫,11.0,11.0
225,🚚,1.0,2.0
226,🎣,6.0,4.0
227,😋,44.0,14.0
228,😇,24.0,20.0
229,🐟,6.0,
230,🎶,69.0,162.0
231,😮,25.0,12.0
232,👋,40.0,43.0
233,🐔,15.0,4.0
234,🎵,20.0,6.0
235,🌵,22.0,36.0
236,👪,4.0,1.0
237,👕,4.0,1.0
238,👫,27.0,16.0
239,🌲,6.0,1.0
240,👥,5.0,
241,📖,18.0,11.0
242,💑,13.0,5.0
243,🌎,5.0,1.0
244,🐄,3.0,
245,🐯,10.0,4.0
246,🔇,2.0,
247,🐽,2.0,1.0
248,🎹,1.0,
249,🐊,7.0,
250,🌳,4.0,1.0
251,📦,2.0,2.0
252,🐍,29.0,4.0
253,🚔,18.0,11.0
254,🔓,10.0,6.0
255,💦,45.0,17.0
256,🌾,7.0,
257,🚗,27.0,12.0
258,🐴,4.0,3.0
259,🐺,6.0,2.0
260,☀,10.0,12.0
261,🎈,12.0,6.0
262,👾,12.0,8.0
263,🕑,2.0,
264,🍺,20.0,21.0
265,🐱,25.0,2.0
266,🔹,1.0,
267,🔭,6.0,2.0
268,‼,2.0,16.0
269,👃,11.0,1.0
270,❓,3.0,2.0
271,🏦,1.0,
272,🚘,10.0,8.0
273,💡,7.0,
274,🚿,8.0,5.0
275,😚,11.0,4.0
276,😗,9.0,1.0
277,💮,2.0,2.0
278,🍭,3.0,1.0
279,🔯,5.0,2.0
280,🌋,4.0,2.0
281,🎲,5.0,1.0
282,🌙,3.0,3.0
283,👵,14.0,6.0
284,💛,15.0,20.0
285,💆,46.0,9.0
286,🚛,1.0,
287,🐬,1.0,3.0
288,👲,11.0,4.0
289,👄,20.0,6.0
290,💝,5.0,2.0
291,📓,7.0,3.0
292,🐩,2.0,
293,🍚,4.0,
294,🍇,1.0,1.0
295,⏳,2.0,2.0
296,🐐,2.0,
297,🚷,4.0,
298,😛,21.0,7.0
299,🐞,3.0,1.0
300,🍔,3.0,2.0
301,🎉,29.0,27.0
302,🌿,29.0,51.0
303,📹,4.0,3.0
304,⚫,3.0,2.0
305,👰,7.0,
306,💅,15.0,10.0
307,🎨,12.0,10.0
308,🗿,13.0,3.0
309,❕,1.0,1.0
310,📡,1.0,1.0
311,☢,1.0,
312,🎮,10.0,8.0
313,🔞,8.0,8.0
314,🎁,2.0,4.0
315,🚕,4.0,3.0
316,🆘,5.0,6.0
317,🍫,1.0,3.0
318,🐠,3.0,1.0
319,📍,1.0,1.0
320,🍍,11.0,10.0
321,🐘,8.0,2.0
322,👷,1.0,1.0
323,👈,20.0,30.0
324,🅰,9.0,5.0
325,🔝,12.0,12.0
326,🐵,12.0,3.0
327,☝,4.0,6.0
328,🔋,5.0,2.0
329,🐳,2.0,
330,🔧,8.0,6.0
331,🐧,15.0,5.0
332,🌊,5.0,6.0
333,🔦,4.0,5.0
334,📲,15.0,5.0
335,🐀,7.0,
336,🍕,56.0,52.0
337,🚺,2.0,
338,🍼,4.0,1.0
339,🐮,15.0,1.0
340,🔒,6.0,5.0
341,🏠,10.0,
342,🌜,3.0,
343,⬅,13.0,
344,🆖,9.0,1.0
345,✖,5.0,21.0
346,🍉,3.0,
347,🙀,30.0,7.0
348,📄,1.0,
349,🎎,2.0,1.0
350,🐭,8.0,2.0
351,🍁,13.0,11.0
352,🌍,2.0,
353,🌕,1.0,
354,🔙,1.0,1.0
355,📌,3.0,1.0
356,😼,7.0,8.0
357,💧,2.0,2.0
358,🚳,1.0,
359,🚙,5.0,11.0
360,🛀,16.0,5.0
361,🔶,3.0,1.0
362,⌚,2.0,2.0
363,🍒,4.0,
364,🏢,1.0,
365,🐙,8.0,
366,💠,1.0,
367,🚑,1.0,22.0
368,🌈,3.0,5.0
369,🏪,1.0,
370,📝,18.0,13.0
371,👓,4.0,2.0
372,✂,10.0,32.0
373,🐃,2.0,
374,🆒,7.0,4.0
375,🍑,6.0,1.0
376,🛁,5.0,4.0
377,🐢,3.0,5.0
378,🌃,3.0,2.0
379,🐕,2.0,
380,📞,2.0,
381,🐏,3.0,
382,🚪,13.0,2.0
383,🚲,1.0,2.0
384,📢,6.0,2.0
385,🌴,5.0,6.0
386,⚡,7.0,10.0
387,📏,2.0,10.0
388,♻,1.0,1.0
389,🎊,3.0,3.0
390,🔔,2.0,2.0
391,🏣,1.0,1.0
392,💬,25.0,2.0
393,🍪,5.0,
394,🍆,7.0,2.0
395,🏥,1.0,2.0
396,🍸,2.0,4.0
397,🐎,7.0,3.0
398,🐼,20.0,6.0
399,🏡,4.0,2.0
400,🐹,3.0,
401,👖,3.0,
402,🔍,2.0,1.0
403,💶,7.0,5.0
404,♥,3.0,15.0
405,💺,6.0,
406,🐌,3.0,
407,🎼,4.0,2.0
408,📼,1.0,
409,👬,6.0,6.0
410,🔮,12.0,9.0
411,🎭,2.0,2.0
412,🐉,2.0,1.0
413,🏀,11.0,13.0
414,🍷,4.0,2.0
415,💴,5.0,18.0
416,🏫,4.0,3.0
417,📊,1.0,
418,💚,7.0,11.0
419,🐫,1.0,
420,👛,1.0,1.0
421,🔴,10.0,2.0
422,🌉,1.0,
423,🎄,3.0,1.0
424,🆚,1.0,
425,🌺,7.0,5.0
426,🎥,21.0,3.0
427,🚀,5.0,7.0
428,🚦,2.0,
429,🆓,1.0,
430,🔑,5.0,4.0
431,➡,2.0,5.0
432,🐑,3.0,
433,☁,5.0,8.0
434,🎆,3.0,
435,🎾,1.0,1.0
436,🍀,2.0,3.0
437,🉐,2.0,
438,📒,2.0,
439,🍟,3.0,1.0
440,🏉,4.0,
441,🐂,4.0,
442,🐇,5.0,7.0
443,🍏,1.0,
444,📐,3.0,
445,💇,4.0,1.0
446,🔰,2.0,1.0
447,💹,3.0,1.0
448,🏇,4.0,
449,📃,1.0,
450,🕢,1.0,
451,🎓,3.0,2.0
452,🐖,5.0,1.0
453,🐡,1.0,
454,➰,1.0,10.0
455,🌗,1.0,1.0
456,🍣,1.0,
457,⛽,5.0,15.0
458,🌐,1.0,
459,🌆,1.0,2.0
460,🏁,1.0,
461,🎅,5.0,1.0
462,🌏,2.0,1.0
463,✔,3.0,5.0
464,⚽,5.0,17.0
465,👡,4.0,
466,⚠,2.0,5.0
467,🌛,1.0,
468,🎳,1.0,1.0
469,❎,1.0,2.0
470,🚒,1.0,
471,🚊,1.0,
472,💼,8.0,
473,🃏,3.0,2.0
474,🔢,1.0,1.0
475,🎒,2.0,1.0
476,🚐,2.0,1.0
477,🔕,1.0,
478,🏄,2.0,1.0
479,🐣,4.0,1.0
480,🌷,4.0,5.0
481,⤵,1.0,1.0
482,🌟,3.0,1.0
483,↪,1.0,
484,🍴,3.0,2.0
485,🎸,3.0,4.0
486,🕥,1.0,
487,🌰,1.0,1.0
488,🚥,1.0,1.0
489,⭐,2.0,2.0
490,✅,1.0,3.0
491,🚈,1.0,
492,🍞,1.0,2.0
493,🍂,2.0,2.0
494,🌑,3.0,
495,👞,3.0,2.0
496,🔸,1.0,
497,⛏,1.0,
498,💟,4.0,2.0
499,☔,2.0,13.0
500,↗,1.0,
501,🐈,2.0,
502,😙,2.0,
503,🚣,1.0,2.0
504,🍄,2.0,1.0
505,🚮,2.0,2.0
506,💱,2.0,1.0
507,👢,1.0,
508,🍙,1.0,
509,🕒,1.0,
510,📀,1.0,2.0
511,📰,1.0,
512,🚴,1.0,2.0
513,❔,1.0,
514,📴,1.0,1.0
515,🎋,1.0,
516,🌼,1.0,1.0
517,📕,1.0,2.0
518,📈,1.0,1.0
519,🍅,1.0,1.0
520,🐤,2.0,2.0
521,🌅,1.0,
522,🚻,1.0,
523,📅,1.0,
524,🔱,1.0,1.0
525,🔳,1.0,
526,👚,1.0,
527,🍋,1.0,
528,📤,1.0,
529,🐆,1.0,
530,❄,1.0,3.0
531,🌄,1.0,
532,🎍,1.0,
533,🎃,1.0,1.0
534,📉,1.0,1.0
535,💌,1.0,5.0
536,🌘,1.0,
537,📆,1.0,
538,🚹,1.0,
539,🌁,1.0,1.0
540,🕠,1.0,
541,🍖,1.0,
542,☕,1.0,7.0
543,➕,1.0,
544,❗,1.0,8.0
545,🔫,,10735.0
546,📯,,2.0
547,♣,,1.0
548,🍰,,3.0
549,☠,,1.0
550,⏪,,3.0
551,📜,,2.0
552,⚾,,2.0
553,⛄,,3.0
554,🚖,,1.0
555,🏮,,1.0
556,⌛,,2.0
557,🚭,,2.0
558,⬇,,2.0
559,💐,,5.0
560,🏂,,1.0
561,🎌,,1.0
562,🚧,,1.0
563,〽,,1.0
564,🔖,,1.0
565,⬆,,4.0
566,🔛,,1.0
567,🍳,,2.0
568,🐋,,2.0
569,🍬,,3.0
570,™,,6.0
571,🚉,,1.0
572,🗻,,1.0
573,🚍,,1.0
574,⚪,,1.0
575,🕘,,1.0
576,👘,,1.0
577,♨,,2.0
578,👙,,4.0
579,♠,,2.0
580,🔺,,1.0
581,📬,,1.0
582,🚼,,2.0
583,⏫,,1.0
584,🍱,,1.0
585,🚄,,2.0
586,🐚,,2.0
587,🚩,,1.0
588,🕖,,1.0
589,🍓,,1.0
590,↩,,1.0
591,⛪,,2.0
592,🔅,,1.0
593,📣,,2.0
594,◀,,1.0
595,💽,,1.0
596,📎,,1.0
597,🗽,,1.0
598,©,,5.0
599,🍥,,2.0
600,🛂,,1.0
601,👗,,1.0
602,☎,,1.0
603,♍,,1.0
604,🍤,,1.0
605,🍶,,1.0
606,🆗,,1.0
607,♦,,1.0
608,🆑,,1.0
609,🆙,,2.0
610,⁉,,1.0
611,📵,,1.0
612,📨,,1.0
613,🕟,,1.0
614,🚱,,1.0
615,⛳,,1.0
