,Emoji,CountBefore,CountAfter
0,😊,1246.0,88.0
1,🌚,397.0,165.0
2,💰,253.0,241.0
3,💥,2258.0,311.0
4,🙌,112.0,66.0
5,😁,512.0,65.0
6,🅱,4.0,2.0
7,👏,154.0,71.0
8,😃,542.0,26.0
9,😂,3701.0,733.0
10,😩,2318.0,170.0
11,😟,60.0,16.0
12,😷,281.0,61.0
13,👨,62.0,6.0
14,👮,363.0,74.0
15,👊,735.0,480.0
16,😫,732.0,39.0
17,😑,1123.0,71.0
18,😒,2551.0,275.0
19,✊,46.0,45.0
20,💣,1419.0,2020.0
21,😍,546.0,164.0
22,💉,106.0,114.0
23,😐,939.0,31.0
24,💀,903.0,306.0
25,🎬,15.0,6.0
26,😢,254.0,36.0
27,😭,3768.0,375.0
28,😓,174.0,12.0
29,🐦,22.0,14.0
30,💔,394.0,206.0
31,😅,1644.0,30.0
32,😰,124.0,13.0
33,😠,245.0,57.0
34,😞,429.0,37.0
35,🔪,1838.0,2875.0
36,😪,257.0,32.0
37,😔,1174.0,89.0
38,🏃,121.0,62.0
39,🔊,20.0,11.0
40,💕,89.0,309.0
41,🚓,35.0,18.0
42,👧,106.0,10.0
43,👀,114.0,58.0
44,💁,148.0,35.0
45,😧,80.0,2.0
46,🙅,129.0,45.0
47,💂,282.0,164.0
48,😳,451.0,35.0
49,💢,131.0,41.0
50,🙍,147.0,8.0
51,👌,311.0,214.0
52,👹,27.0,8.0
53,😵,510.0,21.0
54,🌹,25.0,52.0
55,📚,43.0,7.0
56,😴,264.0,65.0
57,💓,18.0,30.0
58,😀,602.0,11.0
59,🚬,156.0,159.0
60,😌,164.0,27.0
61,😺,10.0,
62,😕,219.0,45.0
63,💯,521.0,322.0
64,🙏,51.0,47.0
65,😉,40.0,24.0
66,🐨,7.0,1.0
67,🙊,82.0,35.0
68,😲,356.0,13.0
69,🚁,3.0,3.0
70,😣,311.0,23.0
71,🎱,7.0,8.0
72,😄,835.0,25.0
73,👜,1.0,1.0
74,🚽,8.0,11.0
75,👯,36.0,18.0
76,💗,36.0,26.0
77,⛺,1.0,2.0
78,🔥,287.0,143.0
79,🔵,8.0,2.0
80,😦,35.0,2.0
81,💏,33.0,9.0
82,😯,16.0,1.0
83,👩,170.0,28.0
84,👴,15.0,5.0
85,💜,40.0,19.0
86,👍,64.0,55.0
87,😤,328.0,103.0
88,💖,30.0,31.0
89,😡,648.0,143.0
90,🚶,146.0,130.0
91,😿,42.0,12.0
92,😖,290.0,17.0
93,😎,235.0,117.0
94,🍊,102.0,13.0
95,💲,9.0,8.0
96,👟,12.0,2.0
97,🍃,17.0,17.0
98,💋,103.0,60.0
99,✨,41.0,35.0
100,📱,26.0,37.0
101,🙈,225.0,64.0
102,💵,63.0,66.0
103,😆,86.0,14.0
104,😨,99.0,8.0
105,😹,90.0,13.0
106,☺,213.0,49.0
107,🐷,41.0,3.0
108,👶,19.0,11.0
109,👼,19.0,16.0
110,👔,5.0,4.0
111,🙎,68.0,2.0
112,👣,14.0,15.0
113,💄,23.0,6.0
114,😏,159.0,81.0
115,👻,42.0,14.0
116,💍,44.0,10.0
117,👽,83.0,52.0
118,👦,97.0,13.0
119,😬,173.0,18.0
120,💪,154.0,86.0
121,😈,364.0,274.0
